Ensembl_ID	Gene_Name	1_CompHet_1_F508del_G1061R	2_CompHet_2_F508del_W1282X	3_CompHet_3_F508del_G542X	4_F508del_F508del_1	5_F508del_F508del_2	6_F508del_F508del_3	7_F508del_F508del_4	8_Control_1	9_Control_2	10_Control_3	11_Control_4	12_Control_5	13_Control_6	ERCC1	ERCC2
ENSG00000002016	RAD52	0	143	0	0	0	0	0	0	0	0	0	0	71	185	45
ENSG00000002079	MYH16	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5
ENSG00000002330	BAD	187	891	590	32	1	2	2	90	530	24	453	4	372	456	199
ENSG00000002549	LAP3	954	927	1146	3539	6	3	4	508	751	1515	969	459	1522	563	381
ENSG00000002586	CD99	194	1558	913	246	3	29	342	37	1572	329	792	739	1244	2119	1211
ENSG00000002587	HS3ST1	1616	1141	461	2146	1292	728	10	1460	2006	1343	2773	3103	2405	273	221
ENSG00000002726	AOC1	0	29	19	2	0	1	0	0	0	0	0	1	0	1	8
ENSG00000002745	WNT16	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ENSG00000002822	MAD1L1	0	313	76	405	1	0	1	480	0	149	77	395	126	365	261
ENSG00000002834	LASP1	2507	2769	3790	3250	4395	7858	11585	2926	6119	3414	3252	2348	3678	4342	2923
ENSG00000002919	SNX11	127	563	187	291	1	2023	787	267	113	341	242	1	382	516	270
ENSG00000002933	TMEM176A	73	35	166	167	368	1	2	0	0	112	0	289	6	1	0
ENSG00000003056	M6PR	1	476	164	532	0	0	1	43	72	392	357	8	351	720	436
ENSG00000003096	KLHL13	0	176	0	1	0	0	0	0	0	0	0	143	125	80	79
ENSG00000003137	CYP26B1	1	70	0	0	0	0	0	0	0	112	1	0	0	57	7
ENSG00000003147	ICA1	3	156	51	424	1	0	0	129	125	401	198	321	436	197	295
ENSG00000003249	DBNDD1	0	516	0	0	1	0	0	0	33	105	6	0	124	564	161
ENSG00000003393	ALS2	0	370	40	0	0	0	0	0	0	0	496	64	169	450	418
ENSG00000003400	CASP10	0	275	321	521	0	0	0	34	412	139	352	37	175	187	150
ENSG00000003402	CFLAR	1648	1832	6053	3042	8378	7668	6646	1538	3638	2830	3157	2966	2553	1682	1431
ENSG00000003436	TFPI	3	1398	15	102	0	1089	569	2	207	185	137	251	153	1918	1826
ENSG00000003509	NDUFAF7	1	262	0	1	1	1	0	165	53	261	0	0	102	217	247
ENSG00000003756	RBM5	132	1287	230	517	1	307	477	239	751	342	415	184	402	945	888
ENSG00000003987	MTMR7	0	49	0	0	0	0	0	0	0	0	0	0	0	22	0
ENSG00000003989	SLC7A2	0	946	1	103	1	2	0	116	2	16	381	38	437	1327	1487
ENSG00000004059	ARF5	0	0	0	0	0	0	0	0	117	0	0	0	2	0	0
ENSG00000004139	SARM1	233	760	211	1	0	1	0	101	143	133	178	1	165	269	126
ENSG00000004142	POLDIP2	577	1113	12	693	1254	379	1739	214	425	672	761	1494	408	1559	743
ENSG00000004399	PLXND1	0	468	110	2	1	1	0	11	5	24	1	33	18	783	434
ENSG00000004455	AK2	1593	3365	1229	1140	2929	987	510	1722	2047	1135	1394	2413	1017	4793	3283
ENSG00000004468	CD38	1	417	75	1348	3	1320	3	53	855	317	1378	29	1017	497	437
ENSG00000004478	FKBP4	509	2547	294	268	3550	225	0	781	219	298	273	494	405	3059	1945
ENSG00000004487	KDM1A	0	549	13	520	1	1	0	527	244	109	224	70	283	759	896
ENSG00000004534	RBM6	105	938	624	513	0	407	1	220	326	351	307	24	218	1544	1265
ENSG00000004660	CAMKK1	88	104	63	0	0	1	251	0	67	1	0	0	48	134	32
ENSG00000004700	RECQL	1	665	205	312	0	1	1	260	18	183	351	110	271	496	615
ENSG00000004766	VPS50	2	311	60	206	0	0	0	142	65	107	48	139	138	391	228
ENSG00000004776	HSPB6	0	392	0	0	0	0	0	0	0	0	0	0	0	343	279
ENSG00000004777	ARHGAP33	0	168	0	0	0	0	0	1	101	0	0	0	0	98	68
ENSG00000004779	NDUFAB1	812	3072	1836	1785	176	2512	1	1015	1160	707	2612	1903	1266	6086	3912
ENSG00000004799	PDK4	0	462	169	197	3	383	0	2	147	253	476	207	184	1300	1165
ENSG00000004809	SLC22A16	0	2	0	0	51	0	0	0	0	2	0	0	25	13	9
ENSG00000004838	ZMYND10	4	681	0	5	1015	2	3	222	508	714	872	514	894	154	52
ENSG00000004846	ABCB5	0	1	0	0	0	0	0	0	0	0	0	0	0	63	76
ENSG00000004848	ARX	0	98	0	0	0	0	0	0	0	0	0	0	36	0	0
ENSG00000004864	SLC25A13	277	670	16	253	1	29	92	101	459	498	458	258	412	429	817
ENSG00000004866	ST7	6	162	204	0	0	3	0	228	269	196	0	12	136	619	258
ENSG00000004897	CDC27	387	1257	1095	1114	2	5	2	569	214	417	1088	1132	387	1116	1190
ENSG00000004939	SLC4A1	1	3	0	0	2	0	0	2	0	0	0	0	1	1	24
ENSG00000004948	CALCR	0	34	0	0	0	1	0	0	0	0	0	0	0	52	62
ENSG00000004961	HCCS	803	719	158	306	1	936	390	295	829	302	841	699	530	984	723
ENSG00000004975	DVL2	4	1016	190	160	0	2	0	300	394	535	823	544	393	1010	889
ENSG00000005001	PRSS22	6315	1188	1521	2733	3495	8074	75	2660	5436	1769	1930	1928	1578	483	195
ENSG00000005007	UPF1	1241	1918	3815	1761	2557	1469	785	798	2640	1203	3443	4079	2405	1964	1524
ENSG00000005020	SKAP2	4	833	4376	127	3	852	4028	109	705	255	3	8	87	724	737
ENSG00000005022	SLC25A5	2603	2954	3270	2960	2845	2420	1912	2458	3518	2354	3541	4078	2811	7570	4865
ENSG00000005059	MCUB	459	731	376	2149	2	178	1	448	458	331	675	206	175	440	386
ENSG00000005073	HOXA11	0	55	0	0	0	0	0	0	0	0	1	0	0	334	186
ENSG00000005075	POLR2J	154	1103	2001	168	1772	3	835	384	224	347	201	707	250	1061	600
ENSG00000005100	DHX33	108	1147	986	278	0	2	3	335	424	254	331	165	173	1300	1050
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12
ENSG00000005108	THSD7A	2	1	1	89	0	1	0	57	163	22	191	587	183	14	13
ENSG00000005156	LIG3	2	565	352	168	0	1	2	125	332	155	468	198	451	803	623
ENSG00000005175	RPAP3	633	1403	276	559	1	1	56	928	757	1159	1199	726	1409	734	867
ENSG00000005187	ACSM3	0	2	0	0	0	0	0	0	0	0	0	0	0	47	133
ENSG00000005189	REXO5	0	6	286	0	0	0	1	18	35	1	123	290	97	59	59
ENSG00000005194	CIAPIN1	4	548	1	125	0	369	0	372	4	263	159	92	43	516	297
ENSG00000005206	SPPL2B	2	2198	633	429	678	1	3	346	232	320	975	1154	726	1462	1057
ENSG00000005238	FAM214B	1	36	131	161	266	0	347	73	103	57	55	154	115	73	23
ENSG00000005243	COPZ2	0	90	11	0	0	0	0	0	0	0	117	0	3	89	47
ENSG00000005249	PRKAR2B	1078	1133	574	1216	2	6	6	1217	1129	2753	2473	1779	1920	376	521
ENSG00000005302	MSL3	5	168	176	451	0	0	952	464	392	180	209	259	258	290	413
ENSG00000005339	CREBBP	610	3015	2107	1727	3	2563	2925	1756	1241	2008	2093	1219	1493	1986	1780
ENSG00000005379	TSPOAP1	0	35	241	118	0	0	1	81	165	198	392	0	177	91	96
ENSG00000005381	MPO	2	0	0	0	1	1	1218	0	0	0	0	0	0	0	9
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	1	736	0	46	0	0	0	209	398	133	464	237	165	300	336
ENSG00000005448	WDR54	3	1557	5	164	3	5	5	323	1283	463	2006	258	1490	1340	1087
ENSG00000005469	CROT	863	155	3	463	0	125	0	327	468	675	624	1078	416	194	86
ENSG00000005471	ABCB4	0	105	0	0	0	0	0	0	0	9	0	0	57	108	80
ENSG00000005483	KMT2E	2263	5402	2891	6262	1186	5237	5524	4589	3334	4593	5460	1690	4192	5044	4651
ENSG00000005486	RHBDD2	834	2433	2590	1253	170	396	769	1474	2432	2544	4535	674	2856	1845	964
ENSG00000005513	SOX8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	32
ENSG00000005700	IBTK	2048	2049	1844	2317	2	864	3	2376	1697	2596	3369	1733	2321	2391	1712
ENSG00000005801	ZNF195	460	355	398	175	0	0	0	2	83	0	9	154	51	403	429
ENSG00000005810	MYCBP2	1013	2464	1591	1885	1271	48	368	1639	1419	1701	2618	780	1260	2257	2087
ENSG00000005812	FBXL3	14	326	305	354	2	0	1465	24	408	170	301	0	322	352	193
ENSG00000005844	ITGAL	1	2	451	0	0	1	978	189	184	251	0	1	132	152	80
ENSG00000005882	PDK2	0	105	89	0	0	2	0	44	76	130	467	360	150	296	178
ENSG00000005884	ITGA3	0	951	67	102	1	0	0	444	593	0	526	319	34	518	376
ENSG00000005889	ZFX	241	328	274	261	1	1	493	115	145	164	279	348	52	347	592
ENSG00000005893	LAMP2	1971	3386	2694	1446	2911	6533	3452	1649	2200	2725	1834	1393	1894	3283	2254
ENSG00000005961	ITGA2B	0	2	1	0	0	1	0	0	0	0	1	1	0	55	24
ENSG00000005981	ASB4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000006007	GDE1	4837	4312	6254	3115	2763	1910	645	4245	3609	3954	5245	5870	3571	2897	2393
ENSG00000006015	REX1BD	15	1647	187	687	659	1303	1	687	174	249	397	569	146	1656	661
ENSG00000006016	CRLF1	0	1135	39	84	0	3	0	49	715	0	1	2	900	1209	999
ENSG00000006025	OSBPL7	0	418	44	279	0	0	0	301	190	0	224	0	0	286	177
ENSG00000006042	TMEM98	961	1197	129	1585	2370	1269	0	1146	1039	692	1081	755	1720	1052	530
ENSG00000006047	YBX2	0	19	0	0	0	0	0	0	0	0	0	0	33	72	10
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	0	4	1	1	691	5	1175	1	0	53	1	228	14	199	68
ENSG00000006071	ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ENSG00000006118	TMEM132A	1	726	983	287	0	0	2	221	84	17	0	375	123	703	480
ENSG00000006125	AP2B1	168	3402	1901	1640	9	798	748	1034	3971	1157	7246	1320	3717	2424	2546
ENSG00000006128	TAC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	5	661	57	37	0	980	1	198	285	113	240	49	298	463	536
ENSG00000006210	CX3CL1	189	149	2	1439	0	0	1	39	62	73	195	232	153	129	91
ENSG00000006282	SPATA20	1	737	1	206	1	1	0	50	2	296	209	361	96	485	161
ENSG00000006283	CACNA1G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006327	TNFRSF12A	102	383	580	513	1100	322	89	127	163	2	277	582	197	739	530
ENSG00000006377	DLX6	0	18	0	0	0	0	0	0	0	0	0	0	0	0	17
ENSG00000006432	MAP3K9	298	218	282	50	1	1	1	2	147	43	160	267	409	181	261
ENSG00000006451	RALA	3166	1751	2461	2894	416	1230	10	1242	1424	1186	891	1739	1438	2567	1733
ENSG00000006453	BAIAP2L1	1032	1331	537	1321	1	712	5	901	1432	1258	2940	1425	2088	1258	762
ENSG00000006459	KDM7A	604	838	683	936	209	7	286	375	416	1074	847	355	1136	727	284
ENSG00000006468	ETV1	0	318	0	1	0	0	0	0	0	0	0	0	1	476	308
ENSG00000006530	AGK	12	183	3	433	0	0	0	27	124	10	240	0	147	502	234
ENSG00000006534	ALDH3B1	806	2612	3628	819	1802	219	965	3099	2216	1811	3291	1181	3845	1286	1000
ENSG00000006555	TTC22	835	92	191	194	3	0	0	332	187	90	9	328	158	118	33
ENSG00000006576	PHTF2	3	342	137	476	0	2	1	318	113	738	304	454	276	552	590
ENSG00000006606	CCL26	0	86	135	0	1	0	0	0	30	0	0	78	66	44	45
ENSG00000006607	FARP2	23	889	150	714	0	0	1	192	194	576	301	393	103	915	504
ENSG00000006611	USH1C	0	0	62	0	0	0	1	0	1	30	152	0	76	1	48
ENSG00000006625	GGCT	1065	1465	635	681	54	182	328	1466	2375	816	1211	1706	1338	2509	2368
ENSG00000006634	DBF4	1	293	250	142	1	2	0	481	216	237	9	19	247	398	700
ENSG00000006638	TBXA2R	0	78	0	0	0	0	0	0	0	0	0	1	0	55	99
ENSG00000006652	IFRD1	84	552	562	357	4087	2930	2860	2	463	547	11	37	259	682	756
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	7	303	189	52	0	0	0	115	154	34	37	103	111	283	301
ENSG00000006704	GTF2IRD1	1	1105	528	635	2	41	1	482	824	216	777	457	636	572	497
ENSG00000006712	PAF1	344	544	208	796	781	514	57	302	505	459	792	22	523	688	481
ENSG00000006715	VPS41	1122	768	569	1495	399	59	502	475	329	894	396	399	441	482	836
ENSG00000006740	ARHGAP44	1	15	74	0	0	0	0	38	53	80	0	186	207	71	162
ENSG00000006744	ELAC2	682	1477	958	338	115	3	5	1034	311	886	1498	654	450	1375	1033
ENSG00000006747	SCIN	130	846	814	853	1	958	2	559	1048	1190	1019	698	1483	227	91
ENSG00000006756	ARSD	2305	2723	372	1612	6	5	7	2398	2389	2764	4642	3745	3345	1391	1017
ENSG00000006757	PNPLA4	672	708	89	56	1723	0	0	641	444	48	345	626	719	428	169
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	741	2650	1935	2127	2	1214	108	1285	308	542	1277	932	1322	2346	2096
ENSG00000006837	CDKL3	1	1	283	0	1	0	0	0	162	86	0	0	25	34	9
ENSG00000007001	UPP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007038	PRSS21	1	487	1	0	0	0	0	3	0	78	0	0	0	762	359
ENSG00000007047	MARK4	597	440	653	297	47	2	1	401	347	292	240	112	205	663	432
ENSG00000007062	PROM1	389	1005	266	246	1572	3	2	139	1571	1319	5030	782	2553	445	182
ENSG00000007080	CCDC124	429	1425	1237	459	4	2	1	466	219	209	302	170	236	451	526
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
ENSG00000007168	PAFAH1B1	561	1887	1516	2056	3837	3008	3590	1198	662	1808	1262	3182	1998	1825	1612
ENSG00000007171	NOS2	1	1	3	3198	1	1	0	288	426	274	2	0	24	1	15
ENSG00000007174	DNAH9	0	573	0	0	1	0	1	0	1021	9	1020	0	635	55	12
ENSG00000007202	KIAA0100	536	1452	332	873	2853	5	3	1039	538	1183	967	695	1491	1259	1369
ENSG00000007216	SLC13A2	0	110	0	25	0	0	0	41	289	41	1	0	59	28	5
ENSG00000007237	GAS7	3	320	235	43	0	288	484	2	234	66	187	294	399	605	490
ENSG00000007255	TRAPPC6A	6	650	272	360	0	1	0	371	859	475	854	731	563	769	862
ENSG00000007264	MATK	0	311	16	67	0	1	1	0	0	1	0	0	0	189	178
ENSG00000007306	CEACAM7	1	2	0	106	0	0	0	0	128	0	0	12	0	0	0
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
ENSG00000007314	SCN4A	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26
ENSG00000007341	ST7L	0	45	1	0	0	0	0	0	3	11	49	0	31	159	167
ENSG00000007350	TKTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ENSG00000007372	PAX6	0	584	552	2	1	1	1	212	73	113	487	7	42	159	210
ENSG00000007376	RPUSD1	321	604	4	269	0	1	1	0	88	107	87	108	136	290	144
ENSG00000007384	RHBDF1	1023	740	635	612	2	0	0	376	514	522	566	933	416	687	610
ENSG00000007392	LUC7L	249	746	288	154	0	2	813	285	138	116	163	194	317	958	1156
ENSG00000007402	CACNA2D2	1	16	0	0	0	0	0	0	0	1	0	172	99	19	50
ENSG00000007516	BAIAP3	1	151	0	0	0	1	1	161	184	187	501	2	435	32	79
ENSG00000007520	TSR3	184	1241	1189	511	416	2	1121	683	1677	1232	1065	432	1001	958	1213
ENSG00000007541	PIGQ	0	163	17	174	1	0	0	175	126	0	148	132	173	311	192
ENSG00000007545	CRAMP1	336	380	291	100	0	0	2	385	33	136	194	5	160	280	322
ENSG00000007866	TEAD3	471	440	71	290	0	1	10	83	499	178	198	150	90	430	133
ENSG00000007908	SELE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	DNAJC11	219	1099	127	469	0	1	1	417	178	64	257	184	300	753	508
ENSG00000007933	FMO3	115	315	179	346	1	2	1	218	409	478	2467	154	485	108	48
ENSG00000007944	MYLIP	940	1551	2210	1235	2	1462	3754	1097	1000	1254	1221	438	800	1385	1141
ENSG00000007952	NOX1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968	E2F2	1	438	349	271	0	0	0	0	104	0	0	100	6	600	430
ENSG00000008018	PSMB1	2470	5161	4273	3816	5374	1449	2958	3828	4579	3241	4574	6440	3396	6005	4899
ENSG00000008056	SYN1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2
ENSG00000008083	JARID2	2353	4325	5742	3476	106	6113	3623	2905	2349	3371	1306	1744	1831	4073	3262
ENSG00000008086	CDKL5	93	90	3	584	0	2	1	87	0	221	99	1	264	56	216
ENSG00000008118	CAMK1G	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7
ENSG00000008128	CDK11A	0	0	61	0	0	0	0	0	5	0	0	0	0	2	70
ENSG00000008130	NADK	11	349	671	551	1275	3382	2156	6	18	15	248	412	273	535	315
ENSG00000008196	TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	0	0	0	0	0	0	0	0	29	0	242	0	146	2	18
ENSG00000008256	CYTH3	636	752	137	63	1	3	1	503	51	299	413	203	445	566	556
ENSG00000008277	ADAM22	0	68	0	0	0	0	0	0	0	0	0	1	0	298	155
ENSG00000008282	SYPL1	920	2129	958	880	2	943	3	1271	1942	931	1597	887	975	2138	997
ENSG00000008283	CYB561	1637	5275	2581	4234	1043	108	7	5553	4414	4622	8032	4035	7951	2849	2401
ENSG00000008294	SPAG9	1228	2176	2158	1731	5172	936	4663	1358	1398	1017	1718	425	866	1428	2010
ENSG00000008300	CELSR3	0	14	0	0	0	0	0	1	0	0	0	102	0	165	163
ENSG00000008311	AASS	64	71	0	1	0	1	0	57	36	40	89	519	85	100	196
ENSG00000008323	PLEKHG6	1	90	0	191	0	0	788	25	79	153	224	13	60	90	15
ENSG00000008324	SS18L2	1	989	543	220	691	241	6	454	58	239	145	148	444	520	481
ENSG00000008382	MPND	1	301	42	2	0	0	1022	284	103	2	114	67	40	316	215
ENSG00000008394	MGST1	37	1013	1074	647	944	298	3	961	475	1025	754	436	1336	2282	1378
ENSG00000008405	CRY1	816	645	272	1	0	1214	1	31	387	153	578	55	235	609	320
ENSG00000008438	PGLYRP1	0	0	8	0	0	0	64	0	0	6	0	0	0	0	0
ENSG00000008441	NFIX	1036	2152	1516	865	33	1	6	2789	1253	1200	2058	1053	2072	1609	1249
ENSG00000008513	ST3GAL1	210	1268	3287	1024	1	945	2204	1229	1089	1260	859	1358	1000	1409	1705
ENSG00000008516	MMP25	348	300	6322	441	3882	7355	28017	287	585	1372	6	276	166	111	94
ENSG00000008517	IL32	385	477	2	367	1	0	0	66	43	0	0	6	1	462	244
ENSG00000008710	PKD1	33	516	14	147	0	2	1	71	76	46	11	52	293	435	311
ENSG00000008735	MAPK8IP2	0	180	22	0	0	0	0	0	76	0	0	0	0	38	10
ENSG00000008838	MED24	855	2400	793	3178	1352	874	3	1693	3093	1779	2919	1990	5568	1823	1922
ENSG00000008853	RHOBTB2	75	508	457	72	1	0	2	135	282	300	241	328	486	533	409
ENSG00000008869	HEATR5B	7	244	276	97	0	2	0	196	38	326	645	101	243	227	145
ENSG00000008952	SEC62	3200	5375	2926	2199	4084	3673	11804	5872	4200	4667	5328	2756	7193	5442	5076
ENSG00000008988	RPS20	10277	26203	15531	14420	7656	5914	2429	21027	12206	10520	22061	25215	18124	31402	27959
ENSG00000009307	CSDE1	7799	13715	4240	8980	4207	6568	4040	10439	12457	10189	14254	6418	12905	15562	15042
ENSG00000009335	UBE3C	1151	2097	762	240	2	3	974	1032	1778	450	1259	885	1027	2117	1414
ENSG00000009413	REV3L	529	1263	59	117	2	3	611	313	388	128	1021	64	430	2037	1495
ENSG00000009694	TENM1	0	40	0	1	0	0	0	0	0	0	0	0	0	206	182
ENSG00000009709	PAX7	1	158	312	443	2	4	2	1104	1584	216	791	832	1950	8	32
ENSG00000009724	MASP2	0	0	1	0	0	0	4	0	0	0	0	0	0	1	21
ENSG00000009765	IYD	131	170	0	145	0	3	0	135	3	228	5	92	89	41	1
ENSG00000009780	FAM76A	159	219	0	514	1	1	0	350	401	447	206	37	124	168	250
ENSG00000009790	TRAF3IP3	0	177	0	138	0	0	123	4	56	164	0	0	39	147	252
ENSG00000009830	POMT2	3	1121	18	207	1322	1	0	115	317	596	1679	110	1279	610	597
ENSG00000009844	VTA1	27	1155	446	813	4	0	0	302	1190	359	506	756	1053	1074	1132
ENSG00000009950	MLXIPL	0	269	0	1	0	0	0	0	0	0	0	0	1	538	480
ENSG00000009954	BAZ1B	2274	3522	364	1567	6	653	433	950	1021	740	1506	1163	1142	3301	5079
ENSG00000010017	RANBP9	31	339	497	432	0	33	28	369	236	208	115	180	448	717	294
ENSG00000010030	ETV7	1	76	70	147	1	0	0	149	0	49	118	0	152	2	3
ENSG00000010072	SPRTN	21	331	194	32	0	2	0	89	0	216	608	149	263	227	159
ENSG00000010165	EEF1AKNMT	433	909	96	45	1347	82	0	165	281	335	228	414	383	509	425
ENSG00000010219	DYRK4	0	168	12	219	0	0	0	186	54	62	53	47	128	230	156
ENSG00000010244	ZNF207	1215	3481	1375	1939	183	1186	1161	1893	2754	1581	2490	2560	1583	4107	3419
ENSG00000010256	UQCRC1	708	1915	1041	610	1246	144	362	871	574	897	947	1274	614	2162	1387
ENSG00000010270	STARD3NL	0	27	15	83	0	0	0	51	194	66	47	92	123	344	310
ENSG00000010278	CD9	413	683	436	933	4799	2876	1278	456	5725	883	1644	2077	1451	2010	1155
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	1	1084	266	81	0	2	1	1	256	33	14	126	182	1076	989
ENSG00000010295	IFFO1	1	349	41	1	1	0	1405	270	63	241	117	0	72	841	884
ENSG00000010310	GIPR	0	3	0	0	0	0	0	36	0	0	91	0	0	10	63
ENSG00000010318	PHF7	1	279	0	2	0	0	0	220	2	67	682	0	106	312	142
ENSG00000010319	SEMA3G	0	0	0	0	0	0	0	0	0	0	0	0	1	186	109
ENSG00000010322	NISCH	8	1353	399	95	0	1	0	322	133	584	53	49	179	741	724
ENSG00000010327	STAB1	59	1	12	119	0	0	1009	0	219	32	89	1	0	0	7
ENSG00000010361	FUZ	2	225	0	72	0	0	665	51	0	1	275	0	176	232	89
ENSG00000010379	SLC6A13	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSG00000010404	IDS	956	1021	1468	1045	1833	8164	6770	648	1612	1356	1275	559	2044	1526	898
ENSG00000010438	PRSS3	300	247	143	74	6	0	1	199	374	70	70	0	0	7	2
ENSG00000010539	ZNF200	627	463	292	147	3	127	755	0	124	0	4	3	277	139	216
ENSG00000010610	CD4	0	139	240	119	0	0	141	1	91	199	162	265	106	151	154
ENSG00000010626	LRRC23	7	2062	267	423	1833	5	8	305	2700	1364	5349	359	4972	512	406
ENSG00000010671	BTK	3	7	526	39	0	863	1555	1	1	2	1	72	13	77	71
ENSG00000010704	HFE	0	23	2	0	0	0	371	0	0	2	0	0	141	81	62
ENSG00000010803	SCMH1	1	35	1	79	0	0	1	103	78	12	419	228	260	563	345
ENSG00000010810	FYN	0	306	38	208	0	0	1	101	82	70	2	88	140	616	597
ENSG00000010818	HIVEP2	1007	702	232	714	1283	71	661	319	572	755	176	907	920	778	557
ENSG00000010932	FMO1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000011007	ELOA	184	439	190	567	0	2	0	210	587	478	115	431	393	724	563
ENSG00000011009	LYPLA2	2319	1572	1651	1564	220	1679	1513	1937	1516	1308	1357	2224	1129	1047	1007
ENSG00000011021	CLCN6	0	17	192	0	0	0	0	0	137	21	0	30	58	239	225
ENSG00000011028	MRC2	1	450	91	26	0	2	1	8	0	123	8	126	189	997	718
ENSG00000011052	NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	828	893	751	359	0	2	2	336	551	649	935	932	930	530	418
ENSG00000011114	BTBD7	2151	1500	1252	1504	10	1447	3309	563	1916	1213	2204	660	1340	1345	1813
ENSG00000011132	APBA3	541	90	9	8	1	0	27	126	0	0	152	14	136	216	118
ENSG00000011143	MKS1	0	74	10	60	2	2	0	216	274	495	216	96	185	338	364
ENSG00000011198	ABHD5	8	101	1543	2	3	1094	1273	390	16	289	10	285	126	44	69
ENSG00000011201	ANOS1	0	0	0	0	0	0	1	2	0	74	99	9	0	51	23
ENSG00000011243	AKAP8L	624	670	174	874	0	0	0	665	333	160	543	169	125	1395	517
